iter	Passed	Remaining
0	1	162
1	3	147
2	4	144
3	6	146
4	7	144
5	9	142
6	10	140
7	12	138
8	13	135
9	14	134
10	16	131
11	17	130
12	19	127
13	20	127
14	22	125
15	23	124
16	25	123
17	27	123
18	28	122
19	30	121
20	32	120
21	33	119
22	35	119
23	37	118
24	39	117
25	40	116
26	42	114
27	44	113
28	45	111
29	46	109
30	48	107
31	49	105
32	51	103
33	52	101
34	53	100
35	55	98
36	56	96
37	58	95
38	60	94
39	61	92
40	63	90
41	63	88
42	65	86
43	66	84
44	68	83
45	69	81
46	71	80
47	72	78
48	74	77
49	75	75
50	77	74
51	78	72
52	80	71
53	81	69
54	82	67
55	83	65
56	85	64
57	87	63
58	88	61
59	90	60
60	92	58
61	93	57
62	95	55
63	96	54
64	98	52
65	99	51
66	101	49
67	102	48
68	103	46
69	105	45
70	106	43
71	108	42
72	109	40
73	111	39
74	112	37
75	114	36
76	116	34
77	117	33
78	119	31
79	120	30
80	122	28
81	123	27
82	125	25
83	126	24
84	128	22
85	129	21
86	131	19
87	132	18
88	134	16
89	135	15
90	137	13
91	138	12
92	140	10
93	141	9
94	143	7
95	144	6
96	146	4
97	147	3
98	149	1
99	150	0
